,Kategori,Forfattarar,Tittel
0,Conference lecture and academic presentation,"Pala, Ahmet; Oleynik, Anna; Handegard, Nils Olav; Alendal, Guttorm",Mitigating Class-Imbalance in Acoustic Target Classification for Fisheries via Similarity-Based Data Selection
15,Conference lecture and academic presentation,"Pala, Ahmet; Oleynik, Anna; Handegard, Nils Olav; Alendal, Guttorm",Similarity-Based Data Selection to Improve Automatic Acoustic Target Classification
38,Conference lecture and academic presentation,"Pala, Ahmet; Oleynik, Anna; Handegard, Nils Olav; Alendal, Guttorm",Deep Learning for Acoustic Target Classification: Addressing Class-Imbalance with a Similarity-Based Sampling Approach
37,Conference lecture and academic presentation,"Forland, Tonje Nesse; Rong, Maren F.; Oppedal, Frode; Øyerhamn, Rune; et. al",Monitoring salmon with broad band echo sounders – investigate acoustic parameters as indicators for welfare
35,Conference lecture and academic presentation,"Pedersen, Geir; Handegard, Nils Olav; Johnsen, Espen",Behaviour dependent broadband backscattering by physostomous fish (Clupea harengus L.)
34,Conference lecture and academic presentation,"Khodabandeloo, Babak; Pedersen, Geir; Forland, Tonje Nesse; Korneliussen, Rolf; et. al",Resolving and characterizing nearby targets by means of broadband acoustics
33,Conference lecture and academic presentation,"Korneliussen, Rolf; Heggelund, Yngve; Eliassen, Inge Kristian",Estimation and removal of acoustic broadband noise
32,Conference lecture and academic presentation,"Handegard, Nils Olav; Algrøy, Tonny; Eliassen, Inge Kristian; Forland, Tonje Nesse; et. al",Centre for research based innovation in marine acoustic abundance estimation and backscatter classification (CRIMAC)
12,Conference lecture and academic presentation,"McQueen, Kate; Gundersen, Sofie; Hareide, Nils-Roar; Palm, Anne Christine Utne; et. al",Monitoring the effects of Norway’s first floating offshore wind farm on demersal fish
23,Journal publication,"Durif, Caroline; Nyqvist, Daniel; Taormina, Bastien; Shema, Steven D.; et. al",Magnetic fields generated by submarine power cables have a negligible effect on the swimming behavior of Atlantic lumpfish (Cyclopterus lumpus) juveniles
24,Journal publication,"Cresci, Alessandro; Zhang, Guosong; Durif, Caroline; Larsen, Torkel; et. al",Atlantic cod (Gadus morhua) larvae are attracted by low-frequency noise simulating that of operating offshore wind farms
31,Journal publication,"Anderson, Sean C.; Bacheler, Nate; Barnett, Lewis; Berg, Casper Willestofte; et. al",WORKSHOP ON UNAVOIDABLE SURVEY EFFORT REDUCTION 2 (WKUSER2)
28,Journal publication,"Sørhus, Elin; Donald, Carey; Nakken, Charlotte L.; Perrichon, Prescilla; et. al",Co-exposure to UV radiation and crude oil increases acute embryotoxicity and sublethal malformations in the early life stages of Atlantic haddock (Melanogrammus aeglefinus)
30,Journal publication,"Annasawmy, Pavanee; Horne, John K.; Reiss, Christian S.; Cutter, George R.; et. al","Antarctic krill (Euphausia superba) distributions, aggregation structures, and predator interactions in Bransfield Strait"
21,Journal publication,"Krafft, Bjørn Arne; Krag, Ludvig A.; Pedersen, Ronald; Ona, Egil; et. al",Antarctic krill (Euphausia superba) catch weight estimated with a trawl-mounted echosounder during fishing
